0,1,2,3,4,5
2.88,-5.0,-7.2,1017.6,180.0,2.1
5.4401,-4.4,-6.1,1018.0,180.0,2.6
3.04,-2.8,-4.4,1018.9,170.0,1.5
12.7999,-1.7,-4.4,1019.3,170.0,2.1
11.9998,0.0,-4.4,1019.0,180.0,1.5
12.32,2.2,-6.7,1018.5,0.0,0.0
5.2801,1.1,-5.0,1019.0,300.0,2.1
8.1601,0.6,-5.6,1019.4,310.0,2.1
10.24,0.6,-5.6,1020.6,280.0,1.5
10.4001,0.0,-6.7,1021.1,0.0,0.0
8.64,-1.1,-5.6,1021.7,170.0,2.1
2.24,-3.3,-6.7,1022.2,150.0,2.1
11.3598,-3.3,-6.1,1022.7,150.0,2.6
10.7201,-3.3,-6.1,1022.7,170.0,4.1
5.5998,-4.4,-7.2,1022.6,170.0,4.1
6.08,-5.0,-7.8,1022.5,160.0,3.1
5.9198,-5.0,-8.3,1022.1,170.0,4.6
7.3597,-5.6,-8.3,1021.0,170.0,4.6
6.4001,-5.6,-8.9,1020.9,170.0,5.1
10.4002,-4.4,-8.3,1021.0,160.0,5.1
7.6801,-5.6,-8.9,1020.8,170.0,4.6
9.7599,-5.6,-9.4,1020.7,170.0,5.1
9.92,-5.6,-9.4,1021.1,170.0,4.6
12.6396,-5.0,-8.9,1021.2,160.0,5.1
10.2402,-4.4,-8.3,1021.2,160.0,5.1
10.2401,-3.9,-8.3,1021.2,170.0,5.1
9.5999,-3.3,-7.8,1021.8,160.0,4.6
12.6397,-1.1,-6.1,1021.5,160.0,4.6
12.4803,-0.6,-5.6,1020.7,160.0,5.1
9.92,0.0,-5.6,1019.9,170.0,5.1
7.8401,0.6,-5.0,1018.9,170.0,3.1
7.36,1.1,-5.6,1018.6,180.0,4.1
7.5202,0.6,-5.6,1018.9,170.0,3.6
9.5998,-0.6,-5.6,1018.6,150.0,3.6
9.7602,-1.1,-5.0,1018.6,170.0,3.6
7.68,-2.2,-6.1,1018.5,170.0,3.6
5.7599,-2.2,-6.7,1018.3,160.0,3.1
5.1201,-2.2,-6.1,1018.3,170.0,3.1
3.68,-2.2,-6.7,1018.4,170.0,3.6
5.44,-2.2,-6.7,1018.2,170.0,3.6
9.44,-1.7,-6.1,1018.2,170.0,4.6
7.6799,-2.2,-6.1,1018.3,160.0,4.1
10.4001,-1.7,-6.1,1018.3,160.0,3.6
9.9199,-2.2,-5.6,1018.6,180.0,3.1
7.5203,-1.7,-4.4,1018.3,0.0,0.0
5.92,-2.2,-4.4,1018.4,150.0,2.1
12.4802,-2.2,-3.9,1018.4,160.0,1.5
7.8402,-2.2,-3.9,1018.9,170.0,1.5
10.72,-2.2,-3.9,1019.4,170.0,2.1
11.2003,-2.2,-3.9,1019.8,170.0,2.6
7.5198,-2.2,-3.3,1020.4,170.0,2.6
3.3601,-1.1,-2.8,1020.4,170.0,1.5
10.72,0.6,-2.2,1019.5,0.0,0.0
9.7599,1.1,-2.8,1019.1,290.0,1.5
12.6402,1.1,-3.3,1018.5,290.0,2.1
63.5203,0.6,-3.3,1018.6,280.0,2.1
7.36,1.1,-5.0,1018.6,0.0,0.0
12.6403,-1.1,-2.8,1018.6,130.0,2.1
3.36,-2.2,-3.3,1020.0,160.0,2.6
5.2798,-1.7,-3.9,1020.1,0.0,0.0
9.7598,-1.7,-3.9,1020.5,0.0,0.0
7.68,-1.1,-3.3,1020.7,0.0,0.0
13.4399,-2.2,-3.9,1021.3,200.0,2.1
5.6001,-2.8,-5.0,1021.5,190.0,2.1
10.0802,-3.3,-5.6,1021.6,100.0,1.5
3.2001,-3.3,-5.6,1021.8,0.0,0.0
7.2,-4.4,-7.2,1022.3,170.0,2.6
10.4001,-5.6,-8.3,1022.7,170.0,2.6
7.52,-5.6,-8.3,1022.7,190.0,1.5
7.68,-5.0,-8.9,1023.0,200.0,1.5
9.9202,-5.0,-8.9,1023.5,150.0,2.1
10.0802,-6.1,-9.4,1024.0,180.0,3.6
56.9603,-3.9,-8.9,1024.4,10.0,2.1
209.7589,-3.3,-8.3,1025.1,320.0,4.6
156.1599,-2.2,-6.7,1025.7,280.0,2.1
129.7602,-1.1,-7.2,1025.7,0.0,0.0
238.0796,0.0,-7.2,1025.3,210.0,2.6
159.8399,1.1,-7.2,1025.0,320.0,3.1
102.8772,1.1,-8.3,1024.9,280.0,1.5
127.68,1.7,-7.2,1025.2,340.0,4.6
245.1202,1.1,-7.2,1025.6,330.0,2.6
78.2398,-1.1,-6.7,1026.2,310.0,2.6
108.9597,-1.1,-7.2,1026.3,0.0,0.0
73.6005,-3.9,-7.8,1027.6,190.0,2.6
155.6789,-3.9,-7.8,1027.4,150.0,2.6
69.7605,-4.4,-8.3,1027.5,180.0,4.1
100.3184,-4.4,-8.9,1027.5,180.0,4.1
96.0013,-4.4,-8.9,1027.3,160.0,4.1
108.6387,-5.0,-8.9,1027.0,170.0,4.6
155.1996,-5.0,-8.9,1026.9,160.0,5.1
115.0425,-5.0,-8.9,1026.2,160.0,4.6
151.9993,-5.0,-8.9,1026.7,170.0,4.1
69.1206,-5.0,-8.9,1026.3,170.0,4.6
159.5188,-5.0,-8.9,1026.4,170.0,4.1
103.5183,-5.0,-8.9,1026.0,170.0,4.1
163.19899999999996,-5.0,-8.9,1027.8,160.0,3.1
78.0798,-4.4,-8.9,1028.0,180.0,2.6
193.9197,-3.3,-8.3,1028.2,160.0,3.1
108.4808,-2.8,-7.8,1028.0,160.0,3.6
103.5204,-1.7,-6.7,1028.2,170.0,3.6
59.5193,-0.6,-6.1,1028.0,150.0,2.1
102.0808,0.0,-5.6,1026.9,150.0,3.6
93.9206,0.0,-6.1,1026.3,180.0,3.6
73.5978,0.6,-6.1,1026.4,170.0,1.5
214.5594,0.6,-6.1,1026.3,170.0,3.1
157.2819,0.6,-5.6,1026.6,140.0,1.5
147.3648,0.0,-6.1,1026.5,0.0,0.0
151.8384,0.0,-5.0,1026.3,170.0,2.6
141.4398,-0.6,-5.6,1026.6,170.0,2.1
154.3994,-0.6,-6.1,1026.5,180.0,1.5
207.5209,-2.2,-6.7,1026.4,170.0,3.1
152.6416,-1.7,-6.7,1026.1,160.0,3.6
130.7222,-2.2,-7.2,1026.1,160.0,2.6
160.9606,-2.8,-7.2,1025.6,170.0,3.6
93.6007,-3.3,-7.2,1025.1,170.0,3.6
203.8421,-3.9,-7.8,1024.9,170.0,3.1
113.5971,-3.9,-7.8,1024.1,180.0,3.6
148.9601,-5.0,-7.8,1024.1,170.0,2.6
119.0419,-5.0,-8.3,1023.6,170.0,3.6
147.8398,-4.4,-8.3,1023.7,160.0,4.6
118.3998,-5.0,-8.3,1023.2,170.0,3.6
62.7186,-2.8,-7.2,1022.6,170.0,2.6
167.5188,-1.7,-6.7,1021.9,170.0,4.6
162.3953,0.6,-6.1,1021.4,160.0,4.1
128.161,2.2,-6.1,1019.7,150.0,4.1
110.401,3.3,-6.1,1017.9,170.0,5.7
151.3591,3.9,-6.1,1016.4,170.0,5.1
49.7595,3.3,-6.1,1015.7,160.0,2.1
152.0003,3.9,-6.7,1015.0,200.0,4.1
113.1225,3.9,-6.7,1013.8,150.0,4.1
163.9989,5.0,-6.7,1012.5,200.0,4.6
104.6403,5.0,-7.2,1011.2,170.0,5.1
205.2801,3.9,-5.6,1011.9,360.0,2.1
193.4394,3.9,-5.6,1010.1,190.0,2.6
113.1199,5.6,-6.7,1008.5,170.0,3.6
95.2001,5.0,-5.6,1007.9,180.0,4.1
73.601,5.6,-5.0,1007.8,250.0,3.6
210.7193,4.4,-5.0,1006.9,120.0,3.1
137.2801,5.6,-5.0,1006.9,290.0,3.6
95.6806,1.7,-2.8,1008.9,340.0,10.8
157.7626,0.0,-6.1,1011.2,340.0,8.2
8.4799,0.0,-9.4,1012.6,340.0,3.6
205.2799,-1.1,-14.4,1014.3,360.0,4.6
208.3208,-2.2,-14.4,1015.4,350.0,2.1
122.5598,-2.8,-15.0,1016.5,350.0,6.2
19.36,-3.9,-13.3,1017.3,320.0,6.7
11.3599,-2.8,-13.3,1017.6,330.0,7.7
12.48,-1.7,-12.8,1018.0,330.0,5.7
15.2,-1.1,-11.7,1017.7,330.0,4.6
11.04,-1.1,-12.8,1017.3,320.0,3.1
12.1603,-1.1,-14.4,1016.8,290.0,3.1
9.2801,-0.6,-15.6,1017.5,340.0,2.6
52.8018,-1.1,-16.1,1017.8,290.0,2.1
118.7184,-2.8,-16.1,1017.9,0.0,0.0
243.6795,-3.3,-15.6,1018.4,0.0,0.0
212.7995,-4.4,-13.9,1018.5,130.0,1.5
215.3583,-7.8,-14.4,1018.7,180.0,2.1
133.9199,-6.1,-16.1,1018.7,160.0,4.1
204.3225,-7.8,-16.7,1018.6,170.0,2.6
264.3188,-7.8,-17.2,1018.2,170.0,2.6
162.4001,-8.9,-17.8,1018.2,180.0,2.1
148.9625,-8.9,-17.2,1017.4,180.0,2.6
105.6006,-9.4,-17.2,1016.8,180.0,3.6
114.72,-8.9,-17.2,1016.2,180.0,4.1
120.1605,-8.9,-17.8,1015.9,170.0,3.6
115.5216,-8.9,-17.8,1014.9,170.0,4.1
150.4005,-8.9,-17.8,1015.1,190.0,2.6
155.0403,-7.8,-16.7,1014.7,50.0,2.1
175.3614,-9.4,-17.2,1015.2,170.0,3.6
149.7599,-7.8,-16.7,1014.1,160.0,3.6
70.8798,-6.1,-15.6,1014.2,30.0,5.1
139.838,-5.0,-13.3,1013.5,360.0,3.6
155.5178,-3.3,-15.0,1011.7,0.0,0.0
182.8789,-2.8,-14.4,1010.8,10.0,2.1
134.8803,-2.8,-13.9,1010.9,0.0,0.0
203.3603,-2.2,-12.2,1011.0,0.0,0.0
110.7196,-2.2,-12.8,1011.8,150.0,1.5
150.398,-3.9,-10.6,1012.8,160.0,2.6
169.9207,-3.9,-8.9,1014.0,150.0,1.5
4.8,-5.6,-9.4,1014.8,180.0,2.6
105.6022,-6.1,-9.4,1015.8,190.0,2.6
209.1175,-6.7,-10.0,1015.9,170.0,2.6
110.0798,-7.2,-10.6,1016.5,0.0,0.0
124.1608,-6.1,-10.6,1016.9,330.0,2.1
96.0004,-6.7,-11.1,1017.9,310.0,2.1
120.9649,-5.6,-10.0,1018.3,340.0,3.6
134.0799,-5.6,-10.6,1019.4,330.0,4.1
114.4014,-5.6,-11.1,1020.4,10.0,2.6
60.6401,-5.6,-11.1,1021.1,330.0,3.1
55.362,-5.6,-11.1,1022.0,320.0,3.1
100.9603,-7.2,-11.7,1023.3,330.0,2.1
61.6002,-8.9,-12.2,1025.0,310.0,2.6
13.44,-8.9,-11.7,1025.8,320.0,2.1
20.4797,-6.7,-10.6,1026.6,0.0,0.0
16.64,-5.6,-10.6,1027.6,0.0,0.0
20.6401,-3.9,-11.7,1027.8,0.0,0.0
10.24,-3.3,-13.9,1027.8,0.0,0.0
12.3202,-2.8,-12.8,1027.0,170.0,3.1
15.0399,-4.4,-10.6,1027.7,180.0,3.1
7.36,-3.9,-11.7,1027.8,0.0,0.0
10.4001,-4.4,-11.1,1028.1,0.0,0.0
15.2002,-4.4,-12.8,1028.7,0.0,0.0
6.4,-5.6,-12.8,1029.6,300.0,1.5
13.6,-6.7,-12.2,1030.5,0.0,0.0
12.9602,-7.8,-12.2,1030.8,170.0,3.1
13.9201,-8.3,-12.8,1030.1,150.0,2.1
16.8,-8.9,-13.3,1030.5,170.0,3.6
8.16,-9.4,-13.9,1030.4,170.0,3.6
10.08,-8.9,-13.9,1029.7,180.0,3.6
9.5999,-9.4,-14.4,1029.3,180.0,3.1
14.56,-9.4,-14.4,1029.5,180.0,2.6
40.1603,-10.0,-15.0,1029.6,210.0,1.5
162.2405,-10.0,-15.0,1029.5,190.0,2.6
164.6404,-9.4,-14.4,1028.8,190.0,1.5
132.0008,-8.9,-14.4,1029.3,200.0,1.5
153.279,-7.8,-13.9,1029.2,190.0,2.6
116.3197,-7.8,-13.9,1028.9,160.0,1.5
162.7196,-7.2,-14.4,1028.6,180.0,3.1
58.4006,-6.1,-14.4,1028.2,0.0,0.0
14.2397,-5.0,-12.8,1028.4,20.0,5.1
15.3603,-3.3,-13.3,1026.9,360.0,1.5
10.24,-2.8,-12.8,1026.4,10.0,2.1
7.3599,-4.4,-7.8,1025.6,130.0,1.5
12.8,-4.4,-6.7,1025.4,50.0,2.1
9.6001,-4.4,-6.1,1024.8,360.0,2.1
9.9199,-4.4,-6.1,1024.3,360.0,3.1
12.3202,-5.0,-6.1,1024.6,340.0,2.6
10.24,-4.4,-6.1,1024.1,310.0,1.5
11.0401,-5.0,-6.1,1024.1,0.0,0.0
4.6401,-3.9,-5.6,1024.0,220.0,1.5
7.9998,-5.0,-5.6,1025.0,330.0,2.1
9.6001,-3.3,-4.4,1023.4,0.0,0.0
9.1199,-3.3,-4.4,1023.3,0.0,0.0
6.72,-2.8,-3.3,1023.0,0.0,0.0
18.0798,-2.2,-3.3,1023.4,0.0,0.0
6.88,-1.7,-3.3,1024.2,110.0,1.5
8.1599,-1.7,-2.8,1023.9,260.0,1.5
10.3999,-1.1,-2.8,1024.3,30.0,1.5
9.44,-1.1,-2.8,1024.0,0.0,0.0
13.1203,-0.6,-3.3,1024.2,260.0,2.1
10.0799,-0.6,-2.8,1024.4,0.0,0.0
8.7997,0.6,-1.7,1024.1,0.0,0.0
5.6,1.1,-1.1,1024.9,0.0,0.0
8.48,1.7,-0.6,1024.3,110.0,4.1
8.1602,3.3,0.6,1023.5,0.0,0.0
8.0,3.3,0.0,1023.0,290.0,2.6
5.5998,4.4,1.1,1021.7,300.0,4.1
11.6802,1.7,-1.1,1022.8,20.0,3.1
3.3599,2.2,-0.6,1021.6,120.0,2.1
7.8399,2.8,-0.6,1020.7,0.0,0.0
7.84,2.8,0.0,1020.2,0.0,2.1
7.5203,1.7,0.0,1019.6,150.0,1.5
11.3597,1.1,0.0,1019.4,170.0,2.1
10.8799,1.1,-0.6,1019.0,290.0,1.5
9.1198,0.6,-0.6,1018.5,0.0,0.0
10.8801,1.7,0.0,1018.2,190.0,2.1
8.32,1.1,-0.6,1017.3,120.0,2.1
13.7599,2.8,-1.1,1016.4,180.0,2.1
8.8,3.3,-1.1,1015.7,180.0,1.5
5.9199,4.4,-1.1,1015.4,190.0,2.6
15.84,4.4,-1.1,1015.2,260.0,4.6
8.4801,4.4,-0.6,1014.2,260.0,1.5
13.2799,6.7,0.6,1013.8,180.0,4.1
11.84,5.0,1.7,1014.4,150.0,2.1
9.1201,3.9,2.2,1014.4,150.0,4.1
11.8401,3.9,2.8,1013.8,150.0,4.6
8.16,3.9,2.2,1013.8,140.0,5.1
9.7599,3.9,3.3,1013.6,160.0,2.6
6.7201,5.0,3.9,1012.6,150.0,3.6
14.7198,6.1,3.9,1010.8,140.0,4.1
18.4003,6.7,3.9,1010.3,160.0,3.1
9.12,5.0,4.4,1010.9,10.0,2.1
8.64,4.4,3.9,1011.4,80.0,3.1
9.92,4.4,3.3,1011.3,80.0,2.6
11.36,3.9,3.3,1011.1,130.0,2.1
12.6402,3.9,2.8,1011.5,160.0,2.1
11.84,2.8,1.1,1012.4,340.0,2.1
9.92,2.2,1.1,1012.9,350.0,1.5
3.52,0.6,0.0,1013.0,160.0,3.1
11.04,0.6,0.0,1013.1,160.0,3.6
11.2,0.6,0.0,1013.2,160.0,4.1
5.9201,1.1,0.0,1013.1,160.0,4.1
12.3199,1.1,0.6,1013.3,160.0,3.6
9.44,1.1,0.6,1014.2,190.0,3.1
20.6397,1.1,0.6,1014.4,180.0,5.7
4.0,0.0,0.0,1016.9,360.0,2.6
9.1201,0.0,-0.6,1017.1,180.0,2.1
8.4802,0.0,-1.1,1018.0,150.0,2.1
12.0,0.0,-0.6,1018.6,180.0,3.1
9.6001,0.6,-0.6,1019.5,180.0,3.6
11.68,0.6,-0.6,1020.8,180.0,3.6
