0,1,2,3,4,5
24.4916,4.4,-2.2,1018.9,300.0,4.1
26.5716,4.4,-2.8,1018.4,300.0,2.6
24.5416,3.9,-2.8,1018.2,300.0,3.6
25.4905,3.9,-3.3,1018.3,300.0,4.1
26.9095,3.3,-3.3,1018.2,280.0,3.1
26.4995,3.3,-3.3,1018.0,280.0,2.6
25.3895,3.3,-3.3,1017.9,280.0,2.6
25.8695,2.8,-3.3,1017.8,300.0,2.6
27.2795,2.8,-2.8,1018.3,270.0,1.5
25.5795,3.3,-2.8,1018.1,290.0,2.6
25.8295,3.9,-3.9,1018.3,300.0,2.6
27.6895,3.9,-3.3,1017.9,280.0,3.6
25.7495,4.4,-3.3,1016.9,290.0,5.1
25.2394,3.9,-3.9,1016.2,280.0,4.6
21.6195,3.3,-3.9,1016.0,300.0,5.1
21.8695,3.9,-5.0,1015.8,290.0,4.6
21.9484,3.9,-5.6,1015.7,300.0,4.1
22.5895,3.3,-6.1,1015.7,270.0,4.6
23.5795,2.8,-6.1,1016.3,270.0,4.1
22.2394,2.8,-6.1,1016.8,280.0,3.6
22.3395,2.2,-6.7,1017.5,290.0,3.1
24.0295,1.1,-6.7,1017.9,280.0,3.1
21.9295,1.1,-8.3,1017.7,270.0,2.1
25.6295,0.6,-8.9,1017.9,300.0,3.6
27.6884,-0.6,-8.3,1018.1,240.0,1.5
26.5084,0.0,-7.8,1017.8,270.0,3.1
27.4695,0.6,-7.8,1018.0,280.0,3.6
25.5695,0.6,-8.9,1017.8,320.0,2.1
27.9195,0.6,-10.0,1017.7,300.0,3.1
25.6195,0.0,-10.0,1017.8,300.0,3.1
25.9395,0.6,-10.0,1018.0,310.0,1.5
25.5395,0.0,-9.4,1018.4,270.0,1.5
26.4295,0.0,-8.9,1018.9,270.0,1.5
25.8295,1.1,-6.7,1019.0,270.0,2.6
25.8995,1.7,-7.2,1019.5,260.0,4.6
29.7195,2.2,-7.2,1019.2,270.0,4.1
25.5795,3.3,-6.7,1018.0,310.0,4.6
22.8984,4.4,-6.7,1016.4,280.0,4.6
23.0295,5.0,-6.1,1015.7,270.0,4.1
20.5095,4.4,-6.1,1015.5,270.0,4.1
22.2095,3.9,-6.1,1015.5,300.0,4.1
22.8895,3.9,-6.1,1015.8,310.0,2.6
23.0195,2.8,-6.1,1015.8,300.0,1.5
20.3395,1.1,-6.1,1016.3,0.0,0.0
22.8405,1.1,-5.6,1015.9,0.0,0.0
21.8205,0.0,-6.1,1015.8,0.0,0.0
21.2505,-1.1,-6.1,1015.3,300.0,2.1
25.7995,-0.6,-5.6,1015.2,270.0,1.5
25.1295,-1.7,-6.1,1014.5,0.0,0.0
26.7905,-2.2,-6.1,1013.8,0.0,0.0
25.7795,-2.2,-5.6,1013.1,230.0,2.1
26.1684,-2.8,-5.0,1012.6,230.0,1.5
28.1595,-3.3,-6.1,1011.3,200.0,2.6
25.7895,-1.7,-5.0,1011.2,250.0,2.1
25.9895,-2.8,-6.1,1010.8,190.0,1.5
27.9295,-2.2,-5.0,1011.1,190.0,1.5
27.3395,-1.7,-4.4,1011.0,230.0,2.1
28.0495,1.1,-3.3,1011.3,220.0,3.1
26.2295,5.0,-3.3,1011.2,230.0,4.1
28.0095,7.2,-5.0,1010.3,260.0,6.2
25.4595,7.8,-5.6,1009.5,280.0,5.1
25.3395,8.3,-5.6,1008.9,300.0,5.7
21.2195,7.8,-5.0,1009.5,300.0,6.2
21.2484,6.7,-5.0,1009.6,330.0,5.1
22.8495,5.6,-5.0,1010.6,300.0,6.7
20.9005,3.9,-5.6,1011.2,320.0,2.6
20.9005,3.3,-5.6,1011.7,320.0,3.1
20.5205,2.8,-5.6,1012.4,270.0,2.1
20.4605,2.2,-5.0,1012.4,280.0,2.1
22.2095,1.7,-5.0,1012.3,270.0,2.6
21.6305,1.7,-5.0,1012.5,290.0,2.1
21.6305,1.1,-5.0,1012.3,290.0,2.1
21.6305,0.6,-4.4,1012.3,280.0,2.1
24.1358,0.6,-4.4,1011.8,280.0,2.6
29.3258,0.0,-5.0,1011.9,300.0,2.6
29.4058,-0.6,-5.0,1012.2,330.0,1.5
32.0047,0.6,-5.0,1012.3,340.0,4.1
31.2658,0.6,-6.7,1012.8,350.0,5.1
50.2447,-1.7,-10.0,1014.2,360.0,5.7
48.3958,-2.8,-11.1,1015.4,360.0,4.6
50.9647,-2.8,-11.7,1016.0,350.0,5.7
49.1047,-2.2,-12.2,1016.9,340.0,4.1
49.4247,-1.7,-12.2,1017.6,360.0,5.7
49.2947,-1.7,-13.9,1017.4,360.0,6.7
48.3758,-1.1,-14.4,1017.1,350.0,7.7
49.8958,-0.6,-15.0,1016.9,330.0,5.7
