0,1,2,3,4,5
128.39,14.4,13.3,1011.7,190.0,5.1
128.39,14.4,13.3,1010.0,190.0,4.6
128.39,17.2,14.4,1009.8,290.0,4.1
128.39,13.9,13.3,1009.0,80.0,1.5
128.39,14.4,13.9,1009.4,0.0,0.0
128.39,15.0,14.4,1010.0,210.0,1.5
128.39,14.4,13.9,1010.1,160.0,2.1
128.39,14.4,14.4,1010.9,0.0,0.0
128.39,13.9,13.9,1011.3,160.0,3.6
128.39,14.4,13.9,1012.5,160.0,1.5
128.39,13.3,13.3,1012.7,0.0,0.0
128.39,12.8,12.8,1013.1,210.0,1.5
128.39,12.2,12.2,1013.1,0.0,0.0
128.39,13.3,13.3,1013.2,360.0,1.5
128.39,13.9,13.9,1012.7,0.0,0.0
128.39,13.9,13.9,1012.7,0.0,0.0
128.39,12.8,12.8,1012.7,80.0,2.1
128.39,13.3,13.3,1012.2,20.0,2.1
128.39,13.9,13.9,1012.0,230.0,1.5
128.39,13.9,13.9,1012.6,0.0,0.0
128.39,13.9,13.9,1012.0,50.0,2.1
128.39,15.0,15.0,1012.0,30.0,2.1
128.39,15.6,15.6,1012.0,130.0,5.7
128.39,16.7,16.7,1009.9,170.0,2.6
128.39,17.2,17.2,1008.9,180.0,4.1
128.39,17.8,17.8,1007.3,180.0,4.1
128.39,20.0,18.9,1006.8,190.0,3.1
128.39,19.4,17.8,1006.1,180.0,3.6
128.39,19.4,17.8,1006.1,200.0,3.1
128.39,18.9,17.2,1006.0,180.0,3.6
128.39,17.8,16.1,1005.4,170.0,3.1
128.39,18.3,16.1,1004.4,180.0,3.1
128.39,16.7,14.4,1004.3,340.0,5.7
128.39,15.6,13.9,1003.6,350.0,3.1
128.39,15.0,13.9,1002.1,40.0,3.6
128.39,15.6,15.0,1001.4,130.0,2.6
128.39,16.1,16.1,1001.4,190.0,4.6
128.39,16.7,16.1,1000.9,200.0,4.6
128.39,16.7,16.1,1001.1,220.0,4.1
128.39,14.4,13.3,1003.2,270.0,3.1
128.39,14.4,10.6,1003.6,300.0,5.1
128.39,13.3,7.2,1004.3,320.0,4.6
128.39,12.8,5.6,1005.2,300.0,5.7
128.39,12.2,5.0,1006.0,0.0,0.0
128.39,11.7,4.4,1007.0,300.0,3.6
128.39,11.7,3.9,1007.9,320.0,5.7
128.39,11.7,2.8,1008.8,310.0,5.7
128.39,12.2,2.2,1009.2,310.0,5.7
128.39,12.8,1.7,1009.2,300.0,4.6
128.39,13.3,1.1,1008.7,300.0,6.2
128.39,14.4,1.7,1008.3,320.0,5.7
128.39,15.0,1.1,1008.4,290.0,5.7
128.39,14.4,0.0,1008.7,290.0,6.7
128.39,12.8,0.6,1009.9,340.0,7.2
128.39,10.6,0.0,1011.0,320.0,7.7
128.39,10.0,-1.1,1012.0,310.0,8.2
128.39,9.4,-1.1,1012.5,330.0,5.7
