0,1,2,3,4,5
204.3481,14.4,13.3,1009.4,170.0,5.7
224.9596,15.0,13.9,1008.8,200.0,4.6
239.6821,15.6,13.9,1009.0,210.0,4.1
230.5542,15.0,13.9,1009.1,210.0,3.1
231.4375,15.0,13.9,1009.1,220.0,2.1
251.1657,15.0,13.9,1010.2,220.0,2.1
218.4817,15.0,13.9,1010.6,220.0,2.1
219.954,15.0,13.9,1011.1,230.0,1.5
211.4149,15.6,13.9,1011.6,270.0,3.1
202.5814,15.0,13.3,1012.1,260.0,2.6
199.048,14.4,12.8,1012.6,250.0,2.6
194.3368,13.9,12.2,1012.8,260.0,1.5
175.1976,12.8,11.7,1013.2,320.0,1.5
162.8307,12.2,11.7,1013.1,0.0,0.0
150.7583,11.1,10.6,1012.8,190.0,1.5
90.1016,9.4,8.9,1012.7,150.0,2.1
113.6576,10.0,9.4,1012.7,0.0,0.0
85.096,11.1,10.0,1012.5,100.0,1.5
117.4855,11.7,11.1,1012.7,70.0,1.5
89.2183,12.2,11.7,1011.9,70.0,2.1
98.3462,13.3,12.2,1011.5,50.0,2.1
150.7583,13.3,12.8,1011.1,80.0,1.5
199.3425,13.3,12.8,1009.8,120.0,3.1
209.0593,13.9,12.8,1007.8,100.0,3.6
207.8815,13.9,12.8,1007.3,60.0,4.1
220.5429,13.9,12.8,1007.3,70.0,3.6
220.5429,12.8,11.7,1007.3,70.0,2.6
243.8044,12.2,11.1,1006.3,70.0,4.6
232.6153,12.2,11.1,1006.2,70.0,4.1
233.7931,12.2,11.1,1005.6,50.0,3.1
237.621,12.2,11.7,1004.7,40.0,2.1
224.0763,12.2,11.7,1003.3,60.0,3.1
226.1374,12.8,12.2,1001.8,60.0,3.6
213.4761,12.8,11.7,1000.5,90.0,2.6
203.4648,12.8,11.7,998.6,90.0,3.1
206.9982,11.7,10.6,998.3,290.0,1.5
189.0367,11.7,11.1,997.3,0.0,0.0
167.5419,13.3,11.7,998.1,260.0,3.1
146.9304,13.3,10.6,1000.1,260.0,3.6
117.7799,12.2,10.0,1000.6,240.0,2.6
115.4243,11.7,4.4,1001.9,300.0,5.1
0.0,10.6,3.9,1003.1,310.0,3.6
0.0,10.0,1.7,1003.9,290.0,5.1
0.0,10.0,1.1,1004.8,290.0,5.7
0.0,10.6,1.1,1005.3,300.0,4.6
0.0,10.6,1.1,1005.3,300.0,6.7
0.0,10.6,1.1,1005.0,300.0,7.2
0.0,11.1,0.0,1005.1,280.0,6.2
213.7705,10.6,0.0,1005.4,280.0,6.2
211.4149,10.6,0.0,1005.8,280.0,5.1
230.2597,10.0,0.0,1006.3,280.0,4.6
226.4319,9.4,0.0,1007.3,290.0,5.7
223.4874,8.9,-1.1,1008.5,290.0,5.7
225.843,8.3,-1.7,1009.3,290.0,4.6
231.4375,7.2,-2.2,1010.2,310.0,5.7
226.4319,6.1,-3.3,1010.4,290.0,4.1
208.4704,5.6,-3.3,1010.6,280.0,2.6
217.5984,5.0,-3.9,1010.6,270.0,3.1
211.7094,4.4,-3.3,1010.8,240.0,2.6
185.7978,3.9,-3.3,1011.3,260.0,2.6
183.7366,3.3,-3.3,1012.2,240.0,2.6
127.4967,3.3,-3.9,1012.3,260.0,2.6
148.1082,2.8,-3.3,1012.3,250.0,3.1
91.2794,3.3,-2.8,1012.4,280.0,3.6
114.5409,3.9,-2.8,1013.0,260.0,4.1
85.096,3.3,-2.8,1013.4,250.0,2.6
117.191,3.9,-2.8,1013.7,260.0,2.1
95.9906,5.6,-2.2,1013.9,280.0,4.6
111.302,7.2,-1.7,1014.1,290.0,5.7
131.0301,8.9,-1.7,1013.8,310.0,7.2
175.4921,9.4,-1.1,1012.9,280.0,4.1
171.0753,10.0,-1.7,1012.4,290.0,5.7
203.4648,10.0,-1.7,1012.0,320.0,5.1
209.0593,10.0,-2.8,1012.1,280.0,6.2
227.3152,9.4,-3.3,1012.5,280.0,7.2
218.4817,8.9,-3.3,1012.9,270.0,5.1
226.4319,7.8,-3.3,1013.4,270.0,7.7
225.2541,7.2,-3.3,1013.7,270.0,5.7
217.3039,6.7,-2.8,1013.7,270.0,5.1
215.5372,6.1,-2.8,1013.8,270.0,3.6
198.7536,6.7,-2.2,1013.9,270.0,5.1
190.509,6.1,-2.2,1014.2,270.0,4.1
171.3698,5.6,-1.7,1014.3,260.0,3.1
165.1863,5.6,-1.7,1014.3,270.0,3.6
156.6473,6.1,-1.7,1014.5,280.0,3.6
97.1684,6.1,-1.7,1015.0,290.0,3.1
95.6962,5.6,-0.6,1014.7,300.0,5.7
83.6237,5.0,-1.1,1015.5,320.0,4.6
85.3904,5.0,-1.7,1016.0,320.0,4.6
92.7517,5.6,-2.8,1016.6,300.0,6.2
88.9238,6.1,-3.3,1017.2,320.0,5.7
90.985,6.7,-2.8,1017.5,320.0,3.1
122.1967,7.2,-2.8,1018.2,320.0,5.1
122.1967,8.3,-2.8,1018.0,300.0,7.7
148.6971,8.9,-2.8,1018.1,300.0,7.2
151.6416,9.4,-2.8,1017.9,310.0,5.7
153.4083,10.0,-3.3,1017.3,330.0,6.2
153.1139,9.4,-3.9,1017.3,320.0,5.1
156.9417,9.4,-2.8,1018.6,320.0,6.7
229.0819,8.3,-3.3,1019.4,320.0,8.8
220.5429,7.8,-3.9,1019.7,340.0,6.2
193.7479,7.2,-3.3,1019.8,320.0,3.1
191.9813,7.2,-3.3,1020.0,320.0,4.1
183.4422,7.2,-2.8,1020.5,320.0,2.1
174.0198,7.2,-2.8,1020.6,310.0,5.1
179.9088,6.7,-3.3,1021.4,310.0,3.1
175.7865,6.7,-3.9,1021.7,320.0,3.1
152.525,6.1,-3.3,1022.1,350.0,4.1
152.8194,5.6,-3.9,1022.4,350.0,5.7
84.2126,5.6,-4.4,1022.5,340.0,5.1
97.7573,5.0,-5.0,1022.6,340.0,4.1
89.8072,5.0,-5.0,1022.5,310.0,2.6
87.74600000000002,4.4,-5.0,1022.6,340.0,1.5
84.5071,4.4,-5.0,1023.3,330.0,2.1
82.4459,3.9,-5.0,1023.4,0.0,0.0
89.5127,5.6,-4.4,1023.5,320.0,2.6
84.2126,7.2,-3.9,1023.4,350.0,3.6
90.1016,7.2,-3.9,1023.2,10.0,3.1
89.8072,7.8,-3.9,1022.6,290.0,3.6
107.4742,7.8,-4.4,1022.3,320.0,2.6
112.7743,7.8,-4.4,1021.8,290.0,3.1
127.2023,7.8,-5.0,1021.8,290.0,2.1
136.6247,7.2,-5.6,1021.6,320.0,1.5
172.5476,6.7,-5.6,1021.5,0.0,0.0
164.8919,5.6,-4.4,1021.2,0.0,0.0
168.4253,5.6,-4.4,1021.3,0.0,0.0
170.192,5.0,-3.9,1021.5,0.0,0.0
179.0255,4.4,-2.8,1020.8,0.0,0.0
153.1139,4.4,-2.8,1019.8,0.0,0.0
182.5588,4.4,-2.2,1019.5,140.0,2.1
178.1421,5.0,-2.8,1019.0,180.0,2.6
162.8307,5.0,-2.8,1017.9,170.0,2.6
162.8307,4.4,-0.6,1017.0,190.0,6.2
122.4911,3.3,1.1,1017.2,170.0,3.6
139.2747,3.3,1.7,1016.3,140.0,2.1
85.9793,3.3,1.7,1015.9,190.0,1.5
112.4798,3.3,2.2,1015.5,190.0,2.6
88.9238,3.9,2.8,1015.6,210.0,3.6
100.7018,4.4,3.3,1015.1,190.0,3.1
105.413,5.0,3.9,1015.2,240.0,1.5
153.7028,5.6,3.9,1016.0,260.0,4.1
124.8467,6.7,4.4,1015.5,290.0,3.1
192.5701,7.2,3.9,1014.8,290.0,4.6
198.1647,8.9,3.9,1014.3,330.0,5.7
206.1148,8.3,1.7,1014.9,320.0,4.6
234.9709,8.3,0.6,1015.3,340.0,5.1
227.9041,7.8,0.6,1016.1,310.0,3.6
234.382,6.1,0.0,1015.9,340.0,2.1
230.2597,3.9,-0.6,1016.6,0.0,0.0
237.621,4.4,0.0,1017.1,300.0,1.5
224.9596,3.9,0.6,1017.8,290.0,2.1
220.2484,4.4,0.6,1018.7,290.0,1.5
204.0537,4.4,-0.6,1018.5,320.0,1.5
206.1148,3.9,-1.1,1018.9,0.0,0.0
188.1534,2.8,-1.7,1019.2,320.0,1.5
191.9813,1.7,-1.7,1019.7,310.0,1.5
147.5193,1.1,-1.7,1019.2,350.0,2.6
162.2418,1.7,-2.2,1019.9,330.0,2.1
141.0414,0.6,-2.2,1019.6,330.0,2.6
95.6962,0.6,-2.8,1019.4,350.0,2.1
124.2578,0.0,-2.8,1019.8,350.0,2.6
85.096,0.6,-2.8,1019.7,340.0,1.5
119.8411,2.2,-2.2,1019.6,10.0,1.5
95.9906,3.3,-1.1,1019.9,50.0,3.1
143.6915,5.0,-0.6,1019.5,60.0,4.6
122.7856,6.1,0.0,1018.2,90.0,4.1
189.9201,6.7,-0.6,1017.2,100.0,4.6
200.2259,6.7,-0.6,1016.0,110.0,5.1
205.8204,7.2,0.0,1014.9,110.0,5.1
222.8985,6.7,0.0,1013.3,90.0,4.1
225.843,6.1,1.1,1013.1,60.0,3.1
249.9879,5.0,2.2,1013.0,30.0,3.1
224.3707,5.0,2.8,1012.7,70.0,3.6
222.604,5.0,3.3,1011.9,70.0,6.2
220.5429,5.6,3.9,1011.3,80.0,4.6
219.6595,5.6,3.9,1010.4,70.0,7.7
207.8815,5.0,3.3,1009.6,50.0,5.7
206.1148,4.4,2.8,1009.5,60.0,6.2
214.3594,4.4,3.3,1009.9,10.0,3.1
202.287,4.4,3.3,1008.9,30.0,4.1
171.9587,4.4,3.3,1010.0,360.0,3.6
144.2804,3.9,2.8,1010.8,360.0,3.6
122.4911,3.9,2.2,1011.3,350.0,3.6
96.874,3.9,2.8,1011.9,360.0,3.1
111.5965,4.4,2.8,1012.6,20.0,2.1
86.8627,3.9,2.8,1013.2,360.0,3.1
121.3133,4.4,2.8,1014.6,320.0,3.1
106.8853,3.9,2.8,1015.6,310.0,3.1
146.0471,4.4,3.3,1015.5,10.0,2.6
159.0029,5.6,3.9,1015.1,10.0,2.1
198.7536,6.7,3.9,1014.3,10.0,1.5
213.7705,7.2,3.9,1014.5,300.0,4.1
215.5372,7.8,2.8,1014.8,310.0,2.6
216.1261,7.8,1.7,1015.2,320.0,2.6
224.3707,7.8,2.2,1015.6,290.0,2.1
235.2654,6.7,1.7,1016.5,0.0,0.0
230.8486,5.6,1.7,1016.8,0.0,0.0
229.3764,4.4,1.1,1016.7,0.0,0.0
221.1318,4.4,2.2,1017.0,0.0,0.0
223.7818,2.8,0.6,1016.7,0.0,0.0
218.4817,1.1,-0.6,1016.8,0.0,0.0
212.8872,0.6,-0.6,1016.7,0.0,0.0
210.5316,1.1,-0.6,1016.3,0.0,0.0
206.7037,0.6,-1.1,1015.7,0.0,0.0
193.4535,0.6,-1.1,1015.7,270.0,1.5
164.8919,-1.1,-2.8,1015.8,230.0,1.5
149.5805,0.0,-2.2,1015.3,300.0,1.5
98.3462,-0.6,-2.2,1015.1,220.0,2.1
85.6849,0.0,-1.7,1015.3,0.0,0.0
86.8627,0.0,-1.7,1015.4,0.0,0.0
121.3133,0.6,-1.1,1015.2,0.0,0.0
104.2352,1.1,-1.1,1015.2,220.0,2.6
136.6247,3.9,-2.2,1015.3,260.0,3.1
118.3688,4.4,-1.7,1014.4,220.0,2.6
192.5701,6.1,-3.3,1013.1,220.0,3.1
197.8702,6.7,-6.1,1012.4,260.0,4.6
232.9098,6.1,-6.1,1012.0,270.0,6.2
232.9098,6.7,-7.2,1012.6,290.0,4.6
232.9098,5.6,-8.3,1013.3,300.0,5.1
232.9098,4.4,-7.8,1013.8,280.0,2.6
232.9098,3.3,-7.2,1014.5,260.0,2.6
232.9098,2.8,-8.3,1015.6,320.0,5.1
232.9098,2.2,-8.9,1015.8,300.0,7.7
232.9098,1.1,-9.4,1016.1,290.0,6.7
232.9098,0.6,-9.4,1016.7,280.0,5.1
232.9098,0.0,-10.0,1017.1,290.0,4.6
0.0,-0.6,-10.0,1017.2,280.0,5.7
0.0,-1.1,-10.0,1017.4,260.0,3.1
0.0,-1.1,-9.4,1017.8,260.0,4.1
0.0,-1.1,-9.4,1018.3,270.0,4.6
0.0,-1.1,-9.4,1018.6,280.0,4.1
0.0,-1.1,-9.4,1018.7,290.0,3.1
0.0,-1.1,-8.9,1019.3,280.0,3.6
0.0,-1.1,-8.9,1020.0,270.0,3.1
0.0,-1.1,-8.3,1020.5,280.0,4.6
0.0,0.6,-8.3,1020.7,290.0,3.6
0.0,1.7,-7.8,1021.4,290.0,6.7
0.0,2.8,-7.2,1021.2,310.0,4.6
0.0,3.3,-8.3,1020.8,300.0,9.3
0.0,2.8,-8.3,1020.8,320.0,6.2
0.0,2.8,-8.9,1020.9,300.0,4.6
104.5297,2.2,-8.9,1021.5,300.0,5.7
104.5297,2.2,-8.3,1022.2,320.0,6.2
104.5297,1.7,-7.2,1022.9,280.0,5.7
104.5297,0.6,-6.1,1023.9,310.0,4.1
225.843,0.6,-6.7,1024.6,300.0,3.6
182.2644,0.0,-7.2,1025.3,300.0,2.1
174.9031,-0.6,-7.2,1025.7,290.0,2.6
176.9643,-1.1,-6.7,1026.2,310.0,1.5
172.2531,-1.7,-6.7,1025.7,290.0,1.5
154.8806,-2.2,-6.7,1025.6,260.0,1.5
155.4695,-2.2,-6.7,1026.4,260.0,2.6
142.5137,-1.7,-6.1,1026.7,290.0,2.6
103.3519,-2.2,-6.1,1027.2,260.0,2.6
95.4017,-1.7,-6.1,1027.5,280.0,3.1
83.0348,-1.7,-6.1,1027.6,260.0,3.6
76.8514,-1.7,-6.7,1028.1,270.0,3.6
77.1458,-2.2,-7.8,1028.9,250.0,3.1
89.8072,-2.2,-7.8,1029.3,250.0,3.1
116.0132,-1.1,-7.8,1029.8,260.0,4.1
116.8965,0.0,-7.8,1030.0,290.0,4.6
125.7301,0.6,-7.8,1029.3,320.0,6.2
142.5137,1.7,-8.3,1028.3,270.0,4.6
146.3415,1.7,-8.9,1027.3,270.0,5.1
141.6303,2.2,-8.9,1027.4,320.0,6.2
147.8138,1.7,-9.4,1027.9,300.0,4.6
150.1694,1.7,-9.4,1028.1,330.0,3.6
142.5137,1.1,-10.6,1029.0,330.0,2.6
146.3415,0.0,-10.6,1029.6,280.0,1.5
148.9916,-0.6,-10.6,1030.3,290.0,2.1
142.2192,-1.1,-10.0,1030.6,300.0,3.1
136.3302,-1.7,-10.0,1030.5,300.0,3.1
129.8523,-2.2,-10.0,1030.9,280.0,2.1
132.7968,-2.2,-9.4,1031.7,300.0,2.6
126.0245,-2.8,-9.4,1031.6,280.0,2.1
118.0744,-3.3,-9.4,1031.5,310.0,2.1
107.1797,-3.3,-9.4,1031.9,260.0,1.5
79.7959,-2.8,-9.4,1032.0,0.0,0.0
82.1515,-2.8,-9.4,1032.2,300.0,1.5
82.4459,-2.8,-9.4,1032.4,0.0,0.0
86.2738,-3.3,-8.9,1032.8,230.0,1.5
79.207,-3.3,-8.3,1033.3,0.0,0.0
79.5014,-2.8,-8.3,1034.1,0.0,0.0
84.5071,-1.7,-7.8,1034.5,210.0,2.1
90.3961,-1.1,-8.9,1034.9,240.0,2.1
82.7404,-0.6,-8.9,1033.8,0.0,0.0
114.2465,0.0,-9.4,1031.5,180.0,3.1
108.652,0.0,-8.9,1031.5,210.0,2.6
111.302,0.0,-9.4,1030.4,210.0,2.6
131.619,0.0,-8.9,1030.3,200.0,2.6
161.6529,0.0,-7.8,1030.1,230.0,1.5
162.2418,0.0,-7.8,1029.4,180.0,2.1
158.414,0.0,-7.8,1028.9,140.0,2.1
157.5306,0.0,-7.8,1027.7,120.0,3.6
161.064,0.0,-7.8,1026.8,130.0,2.1
153.9972,0.0,-7.8,1026.0,100.0,1.5
164.8919,0.0,-7.2,1025.1,100.0,2.1
158.7084,0.0,-6.1,1023.6,90.0,2.1
149.286,0.0,-5.6,1021.4,90.0,2.6
135.7414,0.6,-5.0,1019.8,60.0,2.1
128.6745,0.6,-3.3,1018.2,350.0,2.1
121.6077,0.6,-0.6,1018.2,0.0,0.0
115.4243,0.6,-0.6,1015.1,320.0,2.1
83.3293,1.7,1.1,1013.7,0.0,0.0
90.6905,3.3,2.2,1013.7,200.0,4.1
82.4459,3.9,2.8,1011.8,220.0,3.1
96.874,5.0,3.3,1011.5,240.0,2.1
110.4187,5.6,4.4,1011.0,220.0,3.6
150.7583,6.1,4.4,1011.2,250.0,2.6
128.969,6.7,5.0,1010.4,260.0,3.6
