0,1,2,3,4,5
836.8380000000003,21.7,20.0,1014.5,0.0,0.0
618.754,21.7,20.0,1013.8,100.0,2.1
591.9680000000002,21.1,20.0,1013.7,20.0,2.6
613.427,21.1,20.0,1013.5,0.0,0.0
600.196,21.1,20.0,1013.6,10.0,1.5
929.898,21.1,20.0,1014.2,10.0,1.5
1191.688,21.1,20.0,1014.3,60.0,2.6
1191.688,21.1,19.4,1014.6,100.0,3.6
1191.688,21.1,19.4,1013.3,350.0,2.6
1191.688,20.0,18.9,1014.4,50.0,4.1
1191.688,21.1,19.4,1013.8,70.0,3.6
1191.688,21.7,20.0,1013.3,80.0,3.1
1191.688,21.7,19.4,1013.7,330.0,3.6
1191.688,22.8,20.0,1013.5,40.0,3.6
1191.688,23.3,19.4,1012.8,60.0,1.5
1191.688,23.3,19.4,1012.0,70.0,2.6
1191.688,24.4,19.4,1011.2,70.0,3.1
1191.688,24.4,18.9,1010.5,150.0,3.1
1191.688,23.9,19.4,1010.8,150.0,2.6
1191.688,23.3,19.4,1011.1,150.0,3.1
1191.688,22.2,20.0,1010.6,130.0,3.1
1191.688,22.2,19.4,1010.4,160.0,3.1
1277.098,21.1,19.4,1009.9,150.0,3.1
985.851,21.7,19.4,1009.7,170.0,3.6
800.617,21.7,19.4,1009.2,180.0,3.6
670.873,22.2,19.4,1008.7,200.0,3.1
578.0930000000002,21.7,18.9,1008.8,240.0,5.1
564.031,21.1,18.9,1008.8,290.0,3.6
551.77,20.0,16.7,1009.4,290.0,6.2
764.03,17.8,14.4,1010.4,300.0,5.7
1005.841,16.7,13.9,1011.6,300.0,4.1
1275.923,17.2,13.3,1012.5,310.0,6.2
1359.114,17.8,13.3,1012.8,300.0,5.1
1359.114,18.9,13.3,1012.7,290.0,4.6
1359.114,21.1,13.9,1013.0,310.0,4.1
1359.114,22.2,13.3,1012.8,310.0,2.1
1359.114,23.9,12.8,1012.6,310.0,4.1
1359.114,24.4,13.3,1012.2,320.0,3.6
1359.114,25.0,11.7,1011.9,320.0,5.1
1359.114,25.0,11.7,1011.8,260.0,3.6
1359.114,25.0,10.0,1012.0,260.0,4.1
1359.114,24.4,11.1,1012.2,270.0,3.1
1422.661,23.3,11.1,1012.3,310.0,2.6
1282.637,22.2,11.7,1011.8,30.0,2.1
1215.155,21.7,13.9,1012.6,0.0,0.0
1117.127,20.6,14.4,1012.0,150.0,2.6
946.823,21.1,13.9,1012.1,180.0,1.5
844.3580000000003,20.0,13.9,1012.0,0.0,0.0
655.4739999999998,18.9,14.4,1011.4,140.0,3.1
545.197,18.9,15.6,1011.8,120.0,1.5
517.817,19.4,15.0,1011.6,130.0,4.1
515.851,17.8,16.1,1011.7,130.0,4.1
524.61,18.3,14.4,1012.2,160.0,4.1
711.1419999999997,17.8,13.9,1011.4,190.0,5.1
941.81,17.2,14.4,1011.6,160.0,3.1
1325.13,17.2,15.6,1009.9,150.0,4.1
1325.13,17.8,15.6,1010.6,150.0,4.1
1325.13,18.9,16.1,1011.6,220.0,2.1
1325.13,18.9,16.1,1012.5,220.0,2.1
1325.13,20.0,16.7,1011.7,0.0,0.0
1325.13,21.1,16.7,1011.9,0.0,2.6
1325.13,22.2,16.7,1011.8,130.0,1.5
1325.13,22.2,16.7,1011.9,170.0,4.1
1325.13,22.8,15.0,1011.6,250.0,3.1
1325.13,22.8,15.6,1012.0,220.0,3.6
1411.293,22.8,15.6,1012.0,240.0,2.6
1286.257,22.2,16.1,1011.7,260.0,2.6
1201.519,21.1,13.3,1012.4,320.0,4.6
1077.05,19.4,11.1,1012.5,320.0,5.1
717.798,18.3,11.1,1012.8,300.0,3.6
618.189,17.8,10.0,1012.0,320.0,5.1
613.836,17.8,10.6,1012.5,300.0,4.1
612.175,17.2,11.7,1012.9,300.0,3.1
536.904,16.7,12.8,1012.8,290.0,3.1
490.098,16.1,12.2,1012.2,300.0,4.6
487.903,15.6,12.2,1012.0,290.0,2.6
485.811,15.6,12.2,1012.2,320.0,6.7
516.29,14.4,11.7,1013.0,330.0,5.1
494.204,14.4,11.1,1013.6,320.0,5.7
514.524,15.0,11.1,1014.1,320.0,4.1
552.597,16.1,11.1,1014.9,330.0,7.2
632.42,17.8,9.4,1015.6,310.0,8.8
864.7280000000003,18.9,8.9,1016.0,350.0,7.2
894.176,19.4,8.9,1016.2,330.0,7.7
935.879,21.1,8.3,1016.3,340.0,6.7
996.452,21.7,8.9,1016.4,340.0,7.7
1026.873,21.7,8.9,1016.6,310.0,5.7
1059.121,21.7,8.9,1016.6,330.0,5.7
1061.255,20.6,7.2,1016.8,330.0,6.7
941.877,21.1,8.9,1016.9,320.0,4.1
878.944,20.0,8.3,1017.1,300.0,3.6
805.934,18.3,8.9,1017.5,270.0,1.5
802.763,18.9,8.9,1017.8,260.0,1.5
557.453,17.8,10.0,1018.1,250.0,2.1
496.72,17.2,10.6,1018.3,230.0,2.1
488.383,16.1,10.6,1018.0,210.0,1.5
481.39,15.6,11.1,1017.8,200.0,1.5
467.153,14.4,10.6,1018.0,190.0,1.5
465.345,14.4,10.0,1018.1,210.0,1.5
460.616,14.4,10.0,1017.9,190.0,2.1
460.779,15.0,10.0,1017.7,210.0,1.5
473.821,14.4,10.0,1017.6,190.0,2.6
463.362,14.4,9.4,1017.7,180.0,2.1
462.23800000000006,15.6,10.0,1017.8,200.0,2.1
505.05300000000005,18.3,10.0,1017.2,210.0,5.7
556.375,19.4,10.0,1017.1,200.0,5.7
601.913,21.7,11.1,1016.5,210.0,4.6
781.393,22.8,10.6,1015.7,220.0,7.2
1107.083,24.4,10.6,1014.5,190.0,7.2
1090.606,25.0,10.0,1013.4,190.0,9.8
1142.65,25.6,9.4,1013.0,200.0,8.2
1151.774,26.1,10.0,1012.4,200.0,7.7
1146.863,26.1,10.6,1011.7,190.0,9.3
1009.198,26.1,11.1,1011.3,190.0,6.7
945.561,25.0,11.1,1011.4,190.0,4.6
936.286,23.9,11.7,1011.4,180.0,5.1
910.155,22.2,12.2,1011.9,160.0,4.6
865.927,20.0,12.2,1012.5,140.0,3.6
822.451,20.6,12.2,1012.7,180.0,5.1
805.0010000000003,20.0,12.2,1012.7,180.0,4.6
529.112,18.3,12.2,1012.7,170.0,3.1
503.028,18.3,11.7,1012.7,170.0,3.6
504.846,18.3,11.7,1012.5,180.0,4.1
503.388,17.8,11.7,1012.0,180.0,4.6
486.963,17.8,11.7,1012.0,170.0,4.1
720.548,17.2,11.7,1011.7,170.0,4.6
932.55,16.7,11.7,1011.3,170.0,5.7
1203.345,16.7,11.7,1011.0,170.0,4.6
1328.799,18.9,12.2,1010.4,180.0,4.6
1328.799,21.1,12.8,1010.3,180.0,4.6
1328.799,22.8,12.8,1009.9,200.0,6.2
1328.799,24.4,13.9,1009.3,190.0,4.6
1328.799,26.1,15.0,1008.7,210.0,5.1
1328.799,27.2,15.6,1008.6,220.0,6.2
1328.799,27.2,16.1,1008.8,250.0,4.1
1328.799,25.6,16.1,1009.3,260.0,5.1
1328.799,24.4,16.1,1009.8,280.0,3.1
1328.799,23.9,16.7,1009.8,300.0,4.6
1328.799,22.2,16.1,1010.4,340.0,3.1
1345.524,22.2,15.6,1011.7,320.0,4.6
1276.364,21.1,15.0,1013.0,330.0,6.2
1114.412,20.6,15.6,1013.6,330.0,5.1
929.621,19.4,15.6,1013.7,340.0,6.7
817.5010000000003,18.3,13.9,1014.6,360.0,5.7
623.762,18.3,12.2,1015.1,360.0,4.6
524.0830000000002,17.8,12.8,1016.0,340.0,3.6
493.527,17.8,11.7,1016.4,340.0,5.1
483.315,16.7,9.4,1016.6,340.0,7.2
472.521,15.6,10.0,1017.0,350.0,6.2
576.832,14.4,9.4,1017.9,360.0,5.1
688.194,13.3,10.0,1018.7,340.0,3.6
964.657,13.9,10.0,1020.3,320.0,4.6
955.649,15.0,9.4,1020.6,340.0,4.6
1041.582,15.6,9.4,1020.2,350.0,5.1
1116.777,16.7,8.9,1022.4,350.0,3.6
1152.378,17.2,10.0,1022.5,310.0,5.1
1270.891,18.3,8.9,1021.3,330.0,6.7
1356.878,18.9,8.3,1021.4,340.0,4.6
1359.553,17.8,7.8,1021.4,310.0,6.2
1275.942,17.8,7.8,1021.3,330.0,6.7
1198.971,17.2,7.2,1021.6,340.0,5.1
1038.037,16.7,7.8,1022.1,340.0,4.1
892.211,15.6,7.8,1022.6,20.0,3.1
783.842,15.6,7.8,1023.0,360.0,3.1
743.8810000000003,15.0,7.2,1023.8,10.0,3.1
717.145,14.4,7.2,1024.4,10.0,2.6
669.2769999999998,14.4,6.7,1024.9,10.0,2.6
648.717,14.4,6.7,1025.3,10.0,3.6
485.229,13.3,7.2,1025.8,10.0,3.6
377.342,11.7,6.7,1026.3,10.0,3.6
244.671,11.1,6.1,1026.3,10.0,3.6
161.207,10.0,5.6,1026.5,360.0,2.6
157.80100000000004,9.4,5.6,1026.4,10.0,2.1
305.9890000000001,8.9,5.6,1026.9,360.0,2.6
450.388,8.9,5.6,1027.0,10.0,2.1
583.52,10.0,6.7,1027.2,30.0,2.1
670.72,11.7,7.2,1027.5,30.0,1.5
875.177,13.3,7.8,1027.9,30.0,2.1
904.335,15.6,8.3,1027.4,110.0,2.6
1087.728,16.7,8.3,1026.9,110.0,2.1
1178.143,17.8,8.3,1026.4,70.0,2.6
1296.49,18.3,8.3,1025.5,160.0,2.1
1376.486,20.0,8.3,1024.6,0.0,0.0
1380.994,20.0,8.9,1024.2,0.0,0.0
1241.928,20.6,8.3,1023.6,0.0,0.0
918.511,20.0,7.8,1023.3,0.0,2.1
816.262,19.4,8.9,1023.0,120.0,2.1
732.841,18.3,8.9,1022.7,110.0,4.1
836.294,17.8,9.4,1022.9,120.0,3.6
768.686,16.7,9.4,1023.2,140.0,3.1
700.438,15.6,10.0,1023.0,140.0,3.1
668.118,14.4,10.0,1023.1,140.0,2.6
478.839,14.4,10.0,1023.0,150.0,2.6
380.099,14.4,10.0,1022.8,130.0,1.5
349.515,13.9,9.4,1022.4,140.0,1.5
349.422,14.4,10.6,1022.0,130.0,2.6
351.089,15.0,10.6,1021.8,160.0,1.5
434.244,15.0,11.1,1021.4,130.0,2.1
631.9069999999998,15.0,11.1,1021.3,130.0,3.1
976.673,15.0,11.1,1021.3,150.0,3.6
1074.987,17.2,12.2,1020.8,150.0,4.6
1310.646,20.0,13.9,1020.3,160.0,5.1
1432.636,21.7,15.0,1019.7,150.0,5.1
1308.373,22.2,15.6,1018.9,170.0,5.7
1194.009,22.8,16.1,1018.2,170.0,5.7
1246.868,23.9,16.7,1017.1,160.0,6.2
1204.0839999999996,23.9,16.1,1016.1,160.0,5.1
1185.174,23.3,16.1,1015.6,190.0,4.6
1130.418,18.3,16.7,1015.8,180.0,3.6
978.887,18.3,16.7,1015.8,180.0,4.1
902.734,17.8,16.7,1015.7,160.0,4.1
812.425,17.8,16.7,1014.1,130.0,8.2
1016.396,18.3,16.7,1012.3,120.0,8.8
895.324,18.3,16.7,1014.3,270.0,4.6
774.301,17.8,16.7,1013.8,160.0,1.5
761.23,17.8,16.1,1013.3,160.0,1.5
524.175,17.2,16.1,1013.1,150.0,2.6
398.189,17.2,16.1,1012.4,150.0,2.1
365.843,17.2,15.6,1012.3,150.0,3.1
360.228,17.2,15.6,1011.5,170.0,2.6
361.674,17.8,15.6,1011.9,180.0,2.1
492.62,17.8,15.6,1011.6,200.0,2.1
805.467,17.2,15.6,1011.2,270.0,2.1
1343.698,17.8,15.0,1011.9,250.0,3.1
1337.674,17.8,15.0,1012.1,190.0,2.6
1135.496,18.9,15.0,1012.4,220.0,3.6
993.406,18.9,15.6,1012.2,220.0,3.1
941.737,20.6,15.6,1011.4,230.0,3.6
648.01,21.7,16.1,1010.8,250.0,3.1
975.436,22.2,15.6,1010.7,220.0,4.1
1259.958,23.3,15.0,1010.2,220.0,4.1
1034.734,24.4,15.0,1009.5,230.0,4.6
1053.106,23.9,16.1,1009.0,180.0,4.6
920.521,23.9,16.1,1008.8,200.0,4.6
816.7760000000003,23.3,16.1,1008.6,180.0,3.6
815.8960000000003,22.8,16.1,1008.5,190.0,2.1
788.467,20.6,16.1,1009.2,230.0,4.1
395.402,20.6,14.4,1009.8,290.0,4.6
264.6,19.4,13.9,1010.1,280.0,2.6
258.801,18.9,13.9,1010.0,250.0,2.1
253.6,18.3,13.9,1009.7,250.0,2.1
171.6,17.8,13.9,1009.9,210.0,1.5
137.601,17.2,13.9,1009.7,240.0,3.1
139.6,16.7,13.3,1009.7,250.0,3.1
137.8,15.6,13.3,1009.8,240.0,2.6
138.6,15.0,13.3,1009.9,230.0,3.1
137.6,15.0,13.3,1010.4,270.0,3.1
131.001,15.6,13.3,1011.1,300.0,2.6
133.0,15.0,13.3,1011.8,290.0,3.6
210.6,16.1,13.9,1012.2,240.0,4.1
436.0,17.2,13.3,1012.2,270.0,4.6
427.2,18.3,13.3,1012.4,290.0,4.1
461.4,18.9,13.3,1012.4,270.0,4.1
509.801,20.6,13.9,1012.1,280.0,5.1
499.8,20.6,12.8,1012.0,300.0,5.7
487.8,22.2,12.2,1011.5,270.0,4.6
485.2,22.2,10.0,1011.5,270.0,5.7
424.4,21.7,8.9,1011.3,290.0,5.1
407.0,20.0,9.4,1011.7,290.0,2.1
397.2,18.9,10.0,1011.9,0.0,0.0
396.8,18.9,9.4,1012.2,200.0,1.5
153.80100000000004,16.1,10.6,1012.3,0.0,0.0
139.6,16.7,10.0,1012.6,190.0,1.5
137.6,15.6,11.7,1012.8,210.0,2.1
138.8,15.0,11.7,1012.5,210.0,2.1
137.6,15.0,11.7,1012.3,200.0,2.1
136.6,14.4,11.1,1012.2,170.0,1.5
136.601,12.8,11.1,1011.8,140.0,2.1
137.6,12.8,11.1,1011.4,130.0,2.6
139.8,12.8,11.1,1010.9,120.0,2.1
133.6,13.3,11.1,1010.7,130.0,2.6
133.4,13.9,11.7,1010.8,140.0,2.6
128.601,16.7,12.2,1010.4,170.0,2.6
127.6,19.4,13.9,1010.4,150.0,2.6
129.4,22.2,14.4,1010.0,160.0,3.6
226.8,23.9,13.9,1009.4,180.0,5.1
470.601,25.6,14.4,1008.9,180.0,6.2
459.2,27.2,13.3,1008.3,200.0,5.1
460.0,28.3,13.3,1007.2,190.0,6.7
766.873,28.3,12.8,1007.0,210.0,6.7
796.701,27.8,13.3,1006.8,190.0,4.1
756.8739999999997,27.2,12.8,1007.0,200.0,3.6
696.81,26.1,12.8,1007.0,180.0,3.6
407.8,25.0,13.9,1007.2,190.0,2.6
410.8,25.0,14.4,1007.8,200.0,4.1
415.2,25.0,15.0,1007.8,210.0,3.6
410.6,24.4,14.4,1007.8,220.0,6.2
412.4,23.3,14.4,1008.2,220.0,5.1
161.0,23.3,14.4,1008.3,230.0,6.2
143.6,22.2,14.4,1008.5,230.0,5.7
146.6,21.1,15.0,1008.7,230.0,4.1
147.8,20.6,15.0,1008.8,230.0,5.1
146.8,19.4,15.6,1009.5,250.0,3.1
190.601,18.9,15.6,1010.3,260.0,3.1
